112	17
Item	Description	DE11	E13	E15	E18	E21	P0	P7	P14	A	c10	c11	c12	c13	c14	c15	c16	c17	
TH	RATTOHA	0.516393	1.0	0.819672	0.655738	0.532787	0.565574	0.188525	0.229508	0.0	-0.483607	0.180328	0.163934	0.122951	-0.032787	0.377049	-0.040984	0.229508
NOS	RRBNOS	0.054348	0.152174	0.728261	0.684783	0.934783	1.0	0.858696	0.695652	0.478261	-0.097826	-0.576087	0.043478	-0.25	-0.065217	0.141304	0.163043	0.217391
GRa1	(#)	0.298013	0.410596	0.529801	0.642384	0.675497	0.781457	0.854305	0.966887	1.0	-0.112583	-0.119205	-0.112583	-0.033113	-0.10596	-0.072848	-0.112583	-0.033113
GRa2	(�)	0.007813	0.054688	0.585938	0.796875	0.800781	0.882813	0.785156	0.933594	1.0	-0.046875	-0.53125	-0.210938	-0.003906	-0.082031	0.097656	-0.148437	-0.066406
GRa3	RNGABAA	0.169697	0.163636	0.89697	1.0	0.915152	0.787879	0.636364	0.842424	0.733333	0.006061	-0.733333	-0.10303	0.084848	0.127273	0.151515	-0.206061	0.109091
GRa4	(�)	0.012121	0.187879	0.533333	0.806061	1.0	0.933333	0.666667	0.527273	0.218182	-0.175758	-0.345455	-0.272727	-0.193939	0.066667	0.266667	0.139394	0.309091
GRa5	(#)	0.059289	0.055336	0.541502	0.936759	0.976285	0.936759	0.83004	1.0	0.873518	0.003953	-0.486166	-0.395257	-0.039526	0.039526	0.106719	-0.16996	0.126482
GRb1	RATGARB1	0.0	0.0	0.328125	0.580729	0.565104	0.533854	0.544271	1.0	0.505208	0.0	-0.328125	-0.252604	0.015625	0.03125	-0.010417	-0.455729	0.494792
GRb2	RATGARB2	0.0	0.0	0.0	1.0	0.576642	0.656934	0.664234	0.270073	0.167883	0.0	0.0	-1.0	0.423358	-0.080292	-0.007299	0.394161	0.10219
GRb3	RATGARB3	0.268421	0.363158	0.742105	0.742105	0.805263	0.789474	0.694737	1.0	0.573684	-0.094737	-0.378947	0.0	-0.063158	0.015789	0.094737	-0.305263	0.426316
GRg1	RNGABA	0.010535	0.032415	0.229335	0.49919	0.47731	0.583468	0.551053	0.973258	1.0	-0.02188	-0.196921	-0.269854	0.02188	-0.106159	0.032415	-0.422204	-0.026742
GRg2	(#)	0.0	0.320755	0.733154	0.832884	0.80593	0.630728	0.536388	0.652291	1.0	-0.320755	-0.412399	-0.09973	0.026954	0.175202	0.09434	-0.115903	-0.347709
GRg3	RATGABAA	0.130952	0.18254	0.535714	0.853175	1.0	0.920635	0.686508	0.734127	0.611111	-0.051587	-0.353175	-0.31746	-0.146825	0.079365	0.234127	-0.047619	0.123016
mGluR1	RATGPCGR	0.0	0.0	0.0	0.196429	0.214286	0.25	0.178571	0.446429	1.0	0.0	0.0	-0.196429	-0.017857	-0.035714	0.071429	-0.267857	-0.553571
mGluR2	RATMGLURB	0.0	0.416667	0.361111	0.861111	0.833333	1.0	0.75	0.111111	0.25	-0.416667	0.055556	-0.5	0.027778	-0.166667	0.25	0.638889	-0.138889
mGluR3	RATMGLURC	0.019048	0.066667	0.4	0.790476	0.895238	0.780952	0.657143	0.92381	1.0	-0.047619	-0.333333	-0.390476	-0.104762	0.114286	0.12381	-0.266667	-0.07619
mGluR4	RATMGLUR4B	0.0	0.0	0.142857	0.285714	0.904762	1.0	0.714286	0.380952	0.52381	0.0	-0.142857	-0.142857	-0.619048	-0.095238	0.285714	0.333333	-0.142857
mGluR5	RATMGLUR	0.0	0.0	0.155056	1.0	0.802247	0.757303	0.72809	0.498876	0.611236	0.0	-0.155056	-0.844944	0.197753	0.044944	0.029213	0.229213	-0.11236
mGluR6	RATMGLUR6.	0.0	0.136364	0.636364	0.681818	0.909091	1.0	0.477273	0.090909	0.181818	-0.136364	-0.5	-0.045455	-0.227273	-0.090909	0.522727	0.386364	-0.090909
mGluR7	RNU06832	0.0	0.117073	0.307317	0.873171	0.917073	0.873171	0.643902	1.0	0.756098	-0.117073	-0.190244	-0.565854	-0.043902	0.043902	0.229268	-0.356098	0.243902
mGluR8	MMU17252	0.2	0.0	1.0	0.866667	0.966667	0.833333	0.5	0.5	0.333333	0.2	-1.0	0.133333	-0.1	0.133333	0.333333	0.0	0.166667
NMDA1	RNMDA	0.0	0.0	0.18535	1.0	0.836848	0.883463	0.869034	0.432852	0.497225	0.0	-0.18535	-0.81465	0.163152	-0.046615	0.014428	0.436182	-0.064373
NMDA2A	RATNMDA2A	0.0	0.0	0.0	0.0	0.0	0.063492	0.142857	0.380952	1.0	0.0	0.0	0.0	0.0	-0.063492	-0.079365	-0.238095	-0.619048
NMDA2B	RATNMDA2B	0.074468	0.0	0.489362	0.734043	0.712766	0.680851	0.489362	0.808511	1.0	0.074468	-0.489362	-0.244681	0.021277	0.031915	0.191489	-0.319149	-0.191489
NMDA2C	RATNMCA2C	0.0	0.0	0.0	0.377778	0.677778	1.0	0.588889	0.211111	0.344444	0.0	0.0	-0.377778	-0.3	-0.322222	0.411111	0.377778	-0.133333
NMDA2D	RNU08260	0.670732	0.621951	0.329268	0.756098	0.987805	1.0	0.5	0.317073	0.219512	0.04878	0.292683	-0.426829	-0.231707	-0.012195	0.5	0.182927	0.097561
nAChRa2	RATNNAR	0.0	0.0	0.0	0.375	0.875	1.0	0.8125	0.6875	0.5	0.0	0.0	-0.375	-0.5	-0.125	0.1875	0.125	0.1875
nAChRa3	RNACHRAR	0.014706	0.147059	0.941176	0.602941	0.882353	1.0	0.588235	0.470588	0.25	-0.132353	-0.794118	0.338235	-0.279412	-0.117647	0.411765	0.117647	0.220588
nAChRa4	RATNARAA	0.138889	0.694444	1.0	0.694444	0.888889	0.847222	0.680556	0.611111	0.138889	-0.555556	-0.305556	0.305556	-0.194444	0.041667	0.166667	0.069444	0.472222
nAChRa5	RATNACHRR	0.230769	0.833333	1.0	0.858974	0.884615	0.794872	0.615385	0.346154	0.346154	-0.602564	-0.166667	0.141026	-0.025641	0.089744	0.179487	0.269231	0.0
nAChRa6	RATNARA6S	0.9375	1.0	0.1875	0.5	0.3125	0.6875	0.6875	0.0	0.0	-0.0625	0.8125	-0.3125	0.1875	-0.375	0.0	0.6875	0.0
nAChRa7	RATNARAD	0.467907	0.107612	0.117156	0.895013	1.0	0.940348	0.742305	0.914102	0.498688	0.360296	-0.009544	-0.777857	-0.104987	0.059652	0.198043	-0.171797	0.415414
nAChRd	RNZCRD1	0.375	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.625	1.0	0.0	0.0	0.0	0.0	0.0	0.0
nAChRe	RNACRE	0.0	0.0	1.0	0.269231	0.0	0.038462	0.0	0.0	0.153846	0.0	-1.0	0.730769	0.269231	-0.038462	0.038462	0.0	-0.153846
mAChR2	BOVMRM2SUB	0.044944	0.033708	0.258427	0.69382	0.77809	0.803371	0.974719	1.0	0.533708	0.011236	-0.224719	-0.435393	-0.08427	-0.025281	-0.171348	-0.025281	0.466292
mAChR3	RATACHRMB	0.107143	0.178571	0.285714	0.5	1.0	0.982143	0.375	0.392857	0.107143	-0.071429	-0.107143	-0.214286	-0.5	0.017857	0.607143	-0.017857	0.285714
mAChR4	RATACHRMD	0.289855	0.202899	0.086957	0.202899	0.463768	0.492754	0.637681	1.0	0.594203	0.086957	0.115942	-0.115942	-0.26087	-0.028986	-0.144928	-0.362319	0.405797
5HT1b	RAT5HT1BR	0.15493	0.338028	0.56338	0.760563	1.0	0.985915	0.704225	0.633803	0.295775	-0.183099	-0.225352	-0.197183	-0.239437	0.014085	0.28169	0.070423	0.338028
5HT1c	RATSR1CA	0.0	0.0	0.113208	0.584906	0.726415	0.811321	1.0	0.915094	0.820755	0.0	-0.113208	-0.471698	-0.141509	-0.084906	-0.188679	0.084906	0.09434
5HT2	RATSR5HT2	0.146789	0.100917	0.431193	0.807339	1.0	0.834862	0.788991	0.642202	0.541284	0.045872	-0.330275	-0.376147	-0.192661	0.165138	0.045872	0.146789	0.100917
5HT3	MOUSE5HT3	0.137931	0.137931	0.517241	0.758621	0.758621	1.0	0.724138	0.172414	0.034483	0.0	-0.37931	-0.241379	0.0	-0.241379	0.275862	0.551724	0.137931
NGF	RNNGFB	0.295775	0.591549	0.140845	0.197183	0.183099	0.239437	0.169014	0.352113	1.0	-0.295775	0.450704	-0.056338	0.014085	-0.056338	0.070423	-0.183099	-0.647887
NT3	RATHDNFNT	0.632383	1.0	0.748038	0.359769	0.483684	0.326724	0.0	0.049979	0.363486	-0.367617	0.251962	0.388269	-0.123916	0.15696	0.326724	-0.049979	-0.313507
BDNF	rat_BDNF_D	0.65625	1.0	0.640625	0.953125	1.0	0.84375	0.59375	0.546875	0.4375	-0.34375	0.359375	-0.3125	-0.046875	0.15625	0.25	0.046875	0.109375
CNTF	RNCNTF	0.639706	0.661765	0.272059	0.257353	0.404412	0.757353	0.867647	0.904412	1.0	-0.022059	0.389706	0.014706	-0.147059	-0.352941	-0.110294	-0.036765	-0.095588
trk	RATTRKPREC	0.0	0.297297	1.0	0.189189	0.067568	0.094595	0.067568	0.040541	0.0	-0.297297	-0.702703	0.810811	0.121622	-0.027027	0.027027	0.027027	0.040541
trkB	RATTRKB1	0.055118	0.094488	1.0	0.405512	0.515748	0.535433	0.566929	0.5	0.590551	-0.03937	-0.905512	0.594488	-0.110236	-0.019685	-0.031496	0.066929	-0.090551
trkC	RATTRKCN3	0.147541	0.418033	1.0	0.704918	0.819672	0.967213	0.745902	0.983607	0.983607	-0.270492	-0.581967	0.295082	-0.114754	-0.147541	0.221311	-0.237705	0.0
CNTFR	S54212	0.848197	0.955724	0.962049	0.892473	1.0	0.905123	0.810247	0.841872	0.948767	-0.107527	-0.006325	0.069576	-0.107527	0.094877	0.094877	-0.031626	-0.106894
MK2	MUSMK	0.678663	1.0	0.791131	0.553342	0.434447	0.505141	0.588689	0.473008	0.26671	-0.321337	0.208869	0.237789	0.118895	-0.070694	-0.083548	0.115681	0.206298
PTN	RATHBGAM	0.796524	0.898624	1.0	0.760319	0.753802	0.703114	0.822592	0.902245	0.633599	-0.1021	-0.101376	0.239681	0.006517	0.050688	-0.119479	-0.079652	0.268646
GDNF	RATGDNF	1.0	0.878049	0.195122	0.268293	0.536585	0.536585	0.390244	0.243902	0.121951	0.121951	0.682927	-0.073171	-0.268293	0.0	0.146341	0.146341	0.121951
EGF	RATEPGF	0.385321	0.504587	0.201835	0.366972	0.577982	0.899083	0.972477	0.192661	1.0	-0.119266	0.302752	-0.165138	-0.211009	-0.321101	-0.073394	0.779817	-0.807339
bFGF	RNFGFT	0.009434	0.084906	0.103774	0.311321	0.54717	0.679245	0.735849	0.735849	1.0	-0.075472	-0.018868	-0.207547	-0.235849	-0.132075	-0.056604	0.0	-0.264151
aFGF	RNHBGF1	0.012739	0.038217	0.159236	0.210191	0.477707	0.420382	0.687898	0.643312	1.0	-0.025478	-0.121019	-0.050955	-0.267516	0.057325	-0.267516	0.044586	-0.356688
PDGFa	RNPDGFACP	0.872324	0.706582	0.682791	0.825535	0.872324	0.746233	0.770024	1.0	0.999207	0.165741	0.023791	-0.142744	-0.046788	0.12609	-0.023791	-0.229976	7.93E-4
PDGFb	RNPDGFBCP	0.545455	1.0	0.545455	0.5	0.090909	0.0	0.0	0.0	0.0	-0.454545	0.454545	0.045455	0.409091	0.090909	0.0	0.0	0.0
EGFR	RATEGFR	0.273411	0.477331	0.326866	0.497129	1.0	0.780242	0.910711	0.758464	0.261334	-0.20392	0.150465	-0.170263	-0.502871	0.219758	-0.130469	0.152247	0.497129
FGFR	RATFGFR1	1.0	0.923882	0.609895	0.752617	0.876308	0.856327	0.76118	0.838249	0.884872	0.076118	0.313987	-0.142721	-0.123692	0.019981	0.095147	-0.077069	-0.046622
PDGFR	RNPDGFRBE	0.816667	1.0	0.983333	0.316667	0.316667	0.316667	0.316667	0.283333	0.5	-0.183333	0.016667	0.666667	0.0	0.0	0.0	0.033333	-0.216667
TGFR	RATTGFBIIR	0.596639	0.815126	1.0	0.722689	0.571429	0.563025	0.680672	0.815126	0.815126	-0.218487	-0.184874	0.277311	0.151261	0.008403	-0.117647	-0.134454	0.0
Ins1	RNINS1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ins2	RNINS2	1.0	0.853249	0.713487	0.713487	0.734451	0.650594	0.643606	0.468903	0.978337	0.146751	0.139762	0.0	-0.020964	0.083857	0.006988	0.174703	-0.509434
IGF_I	RATIGFIA	0.769231	0.977692	0.908462	0.846154	1.0	0.97	0.793077	0.785385	0.807692	-0.208462	0.069231	0.062308	-0.153846	0.03	0.176923	0.007692	-0.022308
IGF_II	RATGFI2	0.895743	1.0	0.843614	0.781929	0.539531	0.565595	0.434405	0.400521	0.191138	-0.104257	0.156386	0.061685	0.242398	-0.026064	0.13119	0.033884	0.209383
InsR	RATINSAB	0.666667	0.657658	0.981982	0.954955	1.0	0.963964	0.792793	0.324324	0.369369	0.009009	-0.324324	0.027027	-0.045045	0.036036	0.171171	0.468468	-0.045045
IGFR1	RATIGFI	0.768836	0.625833	1.0	0.615069	0.518196	0.605331	0.384931	0.563813	0.594567	0.143004	-0.374167	0.384931	0.096873	-0.087135	0.2204	-0.178883	-0.030753
IGFR2	MMU04710	1.0	0.695003	0.863725	0.72745	0.558728	0.513303	0.422453	0.312135	0.27904	0.304997	-0.168722	0.136275	0.168722	0.045425	0.09085	0.110318	0.033095
CRAF	RATRAFA	0.882273	0.863636	0.895909	0.936818	1.0	0.986818	0.695909	0.345909	0.618182	0.018636	-0.032273	-0.040909	-0.063182	0.013182	0.290909	0.35	-0.272273
IP3R1	RATI145TR	0.867257	0.707965	0.548673	0.584071	0.60177	0.707965	0.699115	1.0	0.60177	0.159292	0.159292	-0.035398	-0.017699	-0.106195	0.00885	-0.300885	0.39823
IP3R2	RNITPR2R	0.480198	0.415842	0.653465	0.618812	0.683168	0.623762	0.811881	0.940594	1.0	0.064356	-0.237624	0.034653	-0.064356	0.059406	-0.188119	-0.128713	-0.059406
IP3R3	RATIP3R3X	0.615385	0.717949	0.615385	0.487179	0.871795	1.0	0.358974	0.282051	0.179487	-0.102564	0.102564	0.128205	-0.384615	-0.128205	0.641026	0.076923	0.102564
cyclin_A	RATPCNA	1.0	0.905815	0.96724	0.859951	0.954955	0.766585	0.807535	0.635545	0.626536	0.094185	-0.061425	0.107289	-0.095004	0.18837	-0.04095	0.17199	0.009009
cyclin_B	RATCYCLNB	0.988956	0.993926	1.0	0.486472	0.519602	0.469906	0.42021	0.232468	0.016565	-0.00497	-0.006074	0.513528	-0.033131	0.049696	0.049696	0.187742	0.215903
H2AZ	RATHIS2AZ	0.869412	0.944751	0.88448	1.0	0.934706	0.88448	0.814164	0.683576	0.828729	-0.075339	0.060271	-0.11552	0.065294	0.050226	0.070316	0.130588	-0.145153
statin	RATPS1	0.0	0.014815	0.562963	0.725926	0.985185	0.985185	0.962963	0.859259	1.0	-0.014815	-0.548148	-0.162963	-0.259259	0.0	0.022222	0.103704	-0.140741
cjun	RNRJG9	0.232394	0.464789	0.492958	0.34507	0.450704	0.401408	0.415493	0.507042	1.0	-0.232394	-0.028169	0.147887	-0.105634	0.049296	-0.014085	-0.091549	-0.492958
cfos	RNCFOSR	0.114865	0.108108	0.195946	0.310811	0.364865	0.587838	0.391892	0.351351	1.0	0.006757	-0.087838	-0.114865	-0.054054	-0.222973	0.195946	0.040541	-0.648649
Brm	(II)	0.806723	1.0	0.605042	0.663866	0.546218	0.504202	0.336134	0.411765	0.268908	-0.193277	0.394958	-0.058824	0.117647	0.042017	0.168067	-0.07563	0.142857
TCP	(I_I)	0.900728	0.847783	0.860357	0.880874	0.980146	1.0	0.99272	0.913964	0.721377	0.052945	-0.012574	-0.020516	-0.099272	-0.019854	0.00728	0.078756	0.192588
actin	RNAC01	0.811345	0.71897	0.720271	0.683841	0.851678	1.0	0.886807	0.847775	0.964091	0.092376	-0.001301	0.03643	-0.167838	-0.148322	0.113193	0.039032	-0.116315
SOD	RNSODR	0.910323	0.568387	0.574839	0.471613	0.600645	0.929677	0.709677	0.65871	1.0	0.341935	-0.006452	0.103226	-0.129032	-0.329032	0.22	0.050968	-0.34129
CCO1	RATMTCYTOC	0.841371	0.692259	0.749365	1.0	0.765228	0.727157	0.800127	0.64467	0.767766	0.149112	-0.057107	-0.250635	0.234772	0.038071	-0.07297	0.155457	-0.123096
CCO2	RATMTCYTOC	1.0	0.569203	0.532539	0.755576	0.569203	0.593645	0.752521	0.541705	0.696609	0.430797	0.036664	-0.223037	0.186373	-0.024442	-0.158876	0.210816	-0.154904
SC1	RNU19135	1.0	0.997037	0.671111	0.719259	0.871111	0.73037	0.645185	0.407407	0.303704	0.002963	0.325926	-0.048148	-0.151852	0.140741	0.085185	0.237778	0.103704
SC2	RNU19136	0.510204	0.420223	0.718924	0.751855	1.0	0.707792	0.74026	0.647495	0.352505	0.089981	-0.298701	-0.032931	-0.248145	0.292208	-0.032468	0.092764	0.294991
SC6	RNU19140	1.0	0.972222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027778	0.972222	0.0	0.0	0.0	0.0	0.0	0.0
SC7	RNU19141	0.339744	0.467949	1.0	0.858974	0.737179	0.589744	0.307692	0.192308	0.160256	-0.128205	-0.532051	0.141026	0.121795	0.147436	0.282051	0.115385	0.032051
DD63.2	(I_I)	0.680567	0.627935	0.704858	0.725101	0.737247	0.684615	0.652227	0.78583	1.0	0.052632	-0.076923	-0.020243	-0.012146	0.052632	0.032389	-0.133603	-0.21417
