2329	139
gene	Description	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	c27	c28	c29	c30	c31	c32	c33	c34	c35	c36	c37	c38	c39	c40	c41	c42	c43	c44	c45	c46	c47	c48	c49	c50	c51	c52	c53	c54	c55	c56	c57	c58	c59	c60	c61	c62	c63	c64	c65	c66	c67	c68	c69	c70	c71	c72	c73	c74	c75	c76	c77	c78	c79	c80	c81	c82	c83	c84	c85	c86	c87	c88	c89	c90	c91	c92	c93	c94	c95	c96	c97	c98	c99	c100	c101	c102	c103	c104	c105	c106	c107	c108	c109	c110	c111	c112	c113	c114	c115	c116	c117	c118	c119	c120	c121	c122	c123	c124	c125	c126	c127	c128	c129	c130	c131	c132	c133	c134	c135	c136	c137	c138	c139
729	*	0.050661	3.320512	0.048670	0.260274	0.111297	0.040544	0.098691	0.061614	0.166045	0.077805	0.123185	0.117535	0.127353	0.234660	2.063690	0.236791	0.057139	0.826973	1.032354	0.170022	0.220880	0.295858	0.162263	0.361758	0.880407	0.847674	0.354484	0.045204	0.089573	0.075769	0.030544	0.651737	0.061813	0.002632	0.027413	0.293519	0.012212	0.106951	0.052960	0.012229	0.041869	0.032029	0.135901	0.025765	0.075057	0.049231	0.059321	1.489671	0.007926	0.460211	0.114548	0.076272	0.152151	0.082254	1.572296	0.059589	0.009364	0.018792	0.046457	0.025963	0.163252	0.127820	0.034696	0.096631	0.046503	0.073554	0.012429	0.040835	0.038077	0.070774	0.104466	0.046424	0.062204	0.607838	6.809198	0.082519	0.083748	0.128215	0.076735	0.198112	0.089018	0.039100	0.024203	0.101275	0.034979	0.035896	0.041010	0.012416	0.045773	0.058615	0.049048	0.194423	0.021416	0.028798	0.093557	2.593562	0.037892	0.071511	0.075457	0.061128	3.131285	0.058430	0.017953	0.213957	0.349041	0.071744	0.056719	0.037708	0.061061	0.139366	0.098433	0.141629	0.136783	1.935480	0.075614	5.026899	0.095168	0.145780	0.351560	0.280483	0.279454	0.174271	0.237803	0.162253	0.219393	0.033100	0.205919	0.036963	0.036004	0.090741	0.114099	0.103219	0.012154	0.101674	0.046058	4.558133	0.228216	0.020426	0.034257
730	*	0.587319	0.537397	0.222834	0.190657	0.247633	0.165868	0.155331	0.134859	0.293965	0.218260	0.406110	0.277009	0.670600	0.554371	0.879782	2.386018	0.534191	0.263415	2.714647	0.257875	0.303453	0.266898	0.485354	1.764372	6.680702	1.436084	0.387802	0.070876	0.257265	0.343049	0.154720	1.773841	0.542943	0.454330	0.492293	0.304158	0.250767	0.440999	0.163608	0.079433	0.186822	0.266219	5.187310	0.300040	0.284111	0.060318	0.513514	1.033720	0.145052	0.879368	0.986835	0.614674	0.265319	0.533325	2.577777	0.891651	0.100023	0.074015	0.100171	0.357430	0.338741	1.175490	0.509260	1.256271	0.176637	0.299300	0.087154	0.113273	0.486719	0.197160	0.494672	0.047885	0.077479	0.042461	0.835804	0.093793	0.135952	0.364230	0.298264	0.302516	0.139364	0.102412	0.366197	0.440104	0.244055	0.481412	0.240447	0.147418	0.137877	0.077048	0.129593	2.041598	0.210452	0.547179	0.101179	0.035540	0.175436	0.105082	0.086032	0.067471	0.583952	0.075043	0.114734	0.987360	0.242521	0.123371	0.097920	0.129625	0.112784	0.215589	0.258148	1.113121	0.144395	0.612047	0.137832	3.420280	0.364646	0.163292	0.256476	0.425445	0.049733	0.288699	0.250354	0.440450	0.435844	0.199123	0.678714	0.292918	0.189081	0.440059	0.824182	0.385178	0.153233	0.144683	0.122515	0.704530	0.910187	0.091204	0.148857
731	*	0.907581	0.521552	0.162442	0.209148	0.608517	0.234246	0.109765	0.139230	0.244267	0.132823	0.133539	0.108998	0.556612	0.652744	0.420043	1.829815	0.428006	0.227303	3.355493	0.190243	0.220950	0.101491	0.754582	2.180613	7.404818	0.779021	0.426157	0.124051	0.172251	0.344815	0.319440	0.534496	0.301805	0.529957	0.690164	0.199122	0.106141	0.646666	0.378653	0.110360	0.051087	0.443674	4.522444	0.035956	0.173033	0.061285	0.600552	0.482661	0.017857	1.617253	0.673075	0.976100	0.039961	0.436384	1.615930	1.307254	0.115663	0.077091	0.048956	0.398960	0.211734	1.499322	1.192029	1.854360	0.193535	0.288257	0.216545	0.011319	0.711059	0.191158	0.432709	0.083468	0.085768	0.124992	0.572357	0.037338	0.080453	0.296054	0.210044	0.188183	0.115020	0.143608	0.132669	0.289519	0.167111	0.449631	0.324596	0.169848	0.113143	0.141170	0.115758	0.715974	0.164689	1.240646	0.121647	0.123984	0.274687	0.081872	0.046358	0.049493	0.429400	0.065207	0.092532	0.949607	0.116842	0.083733	0.109759	0.164473	0.133476	0.326614	0.282127	1.302121	0.195605	0.609261	0.088943	2.672223	0.226653	0.162325	0.272726	0.340102	0.091715	0.315589	0.191872	0.432678	0.535072	0.208363	0.861767	0.286479	0.126317	0.176201	1.757259	0.621298	0.243823	0.227029	0.044148	0.193161	1.031991	0.118419	0.108960
732	*	0.414750	0.542940	0.179326	0.383591	1.297422	0.218233	0.073492	0.125446	0.700818	0.172521	0.470565	0.133777	0.398356	0.605232	0.749821	1.553131	0.450313	0.150323	2.820767	0.270012	0.117756	0.343337	0.877926	1.951904	6.494233	1.721088	0.455784	0.550021	0.165092	0.791673	0.457247	3.528472	2.492301	1.029384	0.324767	0.289572	0.617971	0.404225	0.179695	0.084032	0.034515	0.434008	3.989046	0.061754	0.518064	0.281484	0.364113	0.656773	0.082150	1.139668	0.930988	0.601848	0.330357	0.521174	1.166838	0.978772	0.234290	0.086482	0.171036	0.463420	1.534816	1.427083	0.358027	0.841837	0.159110	0.684764	0.044870	0.028578	0.506160	0.244132	1.446040	0.177789	0.110900	0.100001	1.550330	0.040445	0.048232	0.350379	0.585998	0.316296	0.090440	0.123096	0.177711	0.595065	0.321601	0.520585	0.224845	0.191804	0.082814	0.573397	0.059729	0.986881	0.077351	0.138735	0.092179	0.134481	0.136759	0.117210	0.244342	0.161880	0.189568	0.106121	0.043834	0.850713	0.605268	0.133890	0.128098	0.104331	0.279236	0.289844	0.748105	0.421058	0.158086	0.207023	0.156357	1.462619	0.256409	0.196107	0.381732	0.444274	0.159208	0.183425	0.408835	0.454208	0.601721	0.164873	0.391649	0.104457	1.894803	0.328467	0.931427	0.404218	0.079997	1.966881	0.117561	1.267249	0.544448	0.131006	0.100034
733	*	0.047723	1.457398	0.030262	0.108874	0.133415	0.059464	0.049187	0.063392	0.180848	0.077174	0.190506	0.172244	0.196561	0.124704	0.919880	0.291228	0.171470	0.610263	0.836730	0.119140	0.147413	0.265999	0.243981	0.246134	0.976625	0.747523	0.146406	0.046806	0.055363	0.046981	0.047263	1.112559	0.081224	0.225124	0.087251	0.090466	0.091453	0.081242	0.042916	0.023954	0.083006	0.081853	0.659138	0.026355	0.038462	0.039615	0.106283	2.793539	0.082029	0.311207	0.146170	0.157154	0.124963	0.107385	1.554248	0.151891	0.034929	0.014494	0.045984	0.073872	0.060954	0.124773	0.077071	0.367829	0.070975	0.058898	0.033246	0.055031	0.123738	0.058694	0.131265	0.027601	0.041411	0.172916	4.931424	0.060544	0.043713	0.070399	0.117341	0.115557	0.033228	0.041967	0.056515	0.363130	0.086110	0.078184	0.043861	0.039201	0.023359	0.052863	0.067576	0.403976	0.026330	0.092464	0.018165	0.819861	0.084757	0.063563	0.053915	0.053360	0.491487	0.022945	0.043307	0.162836	0.097967	0.033069	0.038721	0.049363	0.037135	0.050156	0.061913	0.180068	0.111098	0.594689	0.078787	9.162584	0.055857	0.078120	0.106513	0.263999	0.123652	0.140575	0.084265	0.198192	0.075125	0.050413	0.297913	0.030823	0.056916	0.155018	0.240076	0.068703	0.057863	0.070865	0.059850	3.159294	0.154716	0.023586	0.033260
734	*	0.310647	0.359260	0.349479	0.110893	0.147888	0.098224	0.205817	0.153522	0.538982	0.268480	0.136583	0.126882	0.622223	0.294925	0.314512	1.081175	0.221599	0.196946	2.092188	0.361776	0.199504	0.769380	0.258624	1.653746	5.214609	0.769943	0.689179	0.076510	0.142557	0.034880	0.187595	0.614522	0.430917	0.251773	0.471123	0.075904	0.338216	1.240712	0.052920	0.051549	0.475422	0.279953	3.237079	0.105402	0.000000	0.131876	0.374936	0.789172	0.349746	2.846268	0.355818	0.632031	0.284439	0.105189	1.219094	0.818336	0.281170	0.078697	0.169527	0.384116	0.270754	0.710291	0.191053	0.712565	0.086339	0.071127	0.097574	0.254515	0.290061	0.053901	0.448705	0.012819	0.046484	0.102862	0.569111	0.130640	0.079941	0.566962	0.216372	0.452792	0.160159	0.133415	0.169433	0.618209	7.650297	0.230792	0.209709	0.148522	0.073569	0.039605	0.126438	1.427634	0.127810	0.583917	0.053277	0.309413	0.434818	0.117438	0.144283	0.091542	0.846168	0.076528	0.113321	0.663268	0.235395	0.102370	0.094661	0.035125	0.109295	0.100771	0.386050	0.524567	0.085604	0.344579	0.252209	1.996110	0.235594	0.734572	0.156008	0.102200	0.088431	0.149138	0.163534	0.714160	0.280445	0.117846	0.403129	0.170635	0.258176	0.540039	1.424154	0.309557	0.146030	0.163328	0.112532	0.378974	0.611599	0.079882	0.062970
735	*	0.569429	2.335847	0.315433	0.631055	2.228330	0.323376	0.216033	0.232418	0.584192	0.236162	0.500815	0.366807	0.333822	0.190540	0.589138	1.103089	0.625926	0.316869	3.623393	0.346650	0.503299	0.603740	0.791965	2.246919	3.819134	1.726043	1.014336	0.732888	0.242024	0.777660	0.397759	2.889430	2.784984	0.694458	0.834801	0.235883	0.957758	0.626132	0.270296	0.074905	0.285428	0.448964	2.718242	0.245264	0.331116	0.317191	0.500384	0.786477	0.310658	2.190168	0.605439	0.667395	0.442534	0.436573	2.159554	0.902633	0.349609	0.219057	0.236820	0.454153	1.821886	0.728654	0.706194	1.401168	0.141296	0.834381	0.224812	0.151837	0.764327	0.225478	1.425715	0.456813	0.087054	0.189963	1.251708	0.136231	0.182480	0.311242	0.362310	0.658037	0.105090	0.192737	0.314064	0.749769	0.300566	0.290764	0.224295	0.139688	0.106135	0.307020	0.211866	0.419070	0.149543	0.595554	0.206082	0.274583	0.552633	0.135721	0.166225	0.262529	1.067083	0.093354	0.079968	0.982009	0.548677	0.131502	0.128466	0.224138	0.176742	0.398051	0.412929	0.761599	0.276790	2.001516	0.267904	2.282974	0.562476	0.801942	0.496739	0.583564	0.200941	0.607492	0.452010	0.964367	1.329730	0.232379	1.091509	0.285312	1.829023	0.299209	1.188008	0.422334	0.076147	1.535991	0.135639	1.923486	0.947897	0.107006	0.133768
736	*	0.629339	1.352404	0.188279	1.091556	0.362301	0.292621	0.189462	0.273157	2.053788	0.276989	0.148942	0.230688	0.780832	0.788025	0.451958	1.652156	1.051950	0.252696	2.513226	0.723787	0.488273	0.538745	0.731523	1.752926	4.748568	0.766272	1.170961	0.190776	0.269263	0.495831	0.531575	1.368091	0.724447	1.774550	0.399949	0.841142	1.282066	0.216623	0.268554	0.107333	0.711062	0.501306	2.542471	0.488106	0.289678	0.106463	0.375534	0.893115	0.477704	1.455163	1.085614	0.953758	0.483248	0.597078	1.939598	1.169869	0.456071	0.089865	0.262121	0.488025	0.446449	1.261729	0.317720	0.955658	0.401939	0.288414	0.112089	0.452530	0.412668	0.088670	1.154457	0.098774	0.061081	0.150202	0.372904	0.252159	0.117359	0.385893	0.419643	0.513780	0.086048	0.194483	0.607472	1.269444	2.629013	0.558921	0.328699	0.199989	0.224597	0.246555	0.324523	1.529332	0.123532	0.723242	0.179862	0.061868	0.674321	0.145587	0.259884	0.216858	2.663298	0.084714	0.111737	0.632711	0.187147	0.131886	0.118042	0.214504	0.171373	0.844226	0.645396	0.817517	0.506453	3.226111	0.149051	4.318424	0.392726	0.152051	0.703041	0.398815	0.091012	0.362456	0.247118	1.061511	0.643466	0.270445	0.488182	0.175084	0.037876	0.157764	0.750403	0.275349	0.229328	0.239272	0.148594	0.599607	0.655502	0.078093	0.057406
737	*	0.515991	1.279809	0.163241	0.534471	0.262083	0.134625	0.358587	0.025920	0.468155	0.110914	0.333381	0.381409	2.812413	0.703385	0.694010	2.704364	1.139979	0.368673	3.316142	0.461584	0.225451	0.314354	0.299247	2.395700	4.318646	0.926671	2.669961	0.180015	0.187509	0.567590	0.402877	0.477731	0.631655	2.664606	0.942109	0.507834	1.358037	0.735889	0.088190	0.086218	0.095096	0.329684	1.777443	0.265221	0.453707	0.330674	0.391155	1.142444	0.223347	2.421760	2.399757	0.998466	0.414298	0.236438	2.125991	1.184474	0.612942	0.100066	0.199338	0.811590	0.319991	1.483042	0.520215	1.189034	0.107404	1.414652	0.118852	0.112602	0.890152	0.121471	0.678835	0.040261	0.078654	0.073622	0.393844	0.189735	0.072932	0.259170	0.635341	0.485188	0.231839	0.115064	0.296482	0.090558	0.416658	0.506657	0.232545	0.181622	0.081180	0.217719	0.079123	0.668609	0.151708	0.591282	0.028374	0.187123	0.286821	0.151210	0.191360	0.300406	0.994547	0.049121	0.195780	0.859017	0.282418	0.079151	0.134256	0.113602	0.271725	0.387651	0.890009	1.209543	0.402509	1.219082	0.389690	4.040634	0.394056	0.266403	0.714581	0.812287	0.108909	0.363218	0.325784	0.436241	0.818418	0.170993	0.489195	0.308868	0.086443	0.158188	0.852533	0.602295	0.116038	0.345682	0.115073	0.879882	0.548869	0.090432	0.122194
738	*	0.626052	2.925028	0.181475	0.134866	0.235647	0.288441	0.183805	0.139070	0.408003	0.193971	1.142844	0.583522	0.714094	0.397969	0.400739	2.143759	2.180181	0.160898	1.999969	0.581183	0.427450	0.441028	0.440687	1.573655	6.923890	1.347509	0.323742	0.246575	0.112409	0.193373	0.254298	0.633141	0.655092	1.062234	0.667204	0.161065	0.773235	0.667240	0.438760	0.071734	0.332354	0.283466	1.584426	0.129668	0.240241	0.342875	0.597976	0.652534	0.238047	1.243923	0.972489	1.061352	0.233902	0.697068	0.917491	1.523896	0.253333	0.075856	0.169533	0.395545	0.188003	1.554217	0.431817	2.052508	0.215757	1.765903	0.188291	0.092134	1.006540	0.220546	0.102530	0.172345	0.090520	0.140937	0.331970	0.357476	0.200616	0.243802	0.422753	0.480900	0.173369	0.191139	0.174674	0.571913	0.271032	0.472361	0.211127	0.477818	0.155542	0.070798	0.103325	1.023611	0.077298	0.772922	0.115045	0.125673	0.515241	0.102511	0.182780	0.126697	1.185858	0.070686	0.153199	0.701600	0.164482	0.131794	0.060828	0.119515	0.334832	0.185408	0.516451	1.506999	0.222727	1.076722	0.378070	4.199050	0.356118	0.339624	0.974268	0.873056	0.070664	0.437277	0.073700	0.394028	0.414000	0.243412	1.268285	0.274549	0.200007	0.154768	1.179503	0.339448	0.163637	0.356648	0.191858	0.639994	0.526648	0.160220	0.133538
739	*	0.701326	2.006671	1.194916	0.789864	0.358257	0.216932	0.250650	0.164796	0.421085	0.423161	0.104666	0.306441	0.542948	0.448721	1.098899	1.524181	1.576808	0.065715	2.879371	0.801461	0.594076	0.531835	0.347612	1.327535	3.382158	1.818041	0.740267	0.187606	0.526038	0.746085	0.256559	0.959947	0.425927	0.369640	0.600049	0.433815	0.449328	0.596037	0.473727	0.107652	0.394917	0.545098	1.181691	0.430792	0.359654	0.413906	0.904657	0.499286	0.392060	1.090245	0.479162	0.818670	0.477167	0.518992	6.491757	1.114506	0.534785	0.122944	0.460807	0.237435	0.550417	0.970150	0.776555	2.152143	0.484133	1.239887	0.187437	0.177901	1.156240	0.174538	0.671605	0.169774	0.135002	0.302424	0.577011	0.270924	0.169197	0.364487	0.818323	0.593465	0.388586	0.170454	0.317196	0.622058	0.318606	0.408966	0.387297	0.202007	0.136891	0.254707	0.185369	1.248441	0.193529	0.532808	0.335002	0.534425	0.610722	0.249225	0.270108	0.420831	1.384438	0.054062	1.300288	0.854924	0.671542	0.159233	0.208680	0.372154	1.170500	0.403054	0.480797	0.926880	0.459922	1.525778	0.555161	2.213480	1.720343	1.234344	0.570621	0.600852	0.240893	0.586501	0.465436	1.341346	0.804022	0.121521	0.649512	0.100296	0.397705	0.270381	0.686712	0.341530	0.190610	0.337670	0.206082	0.872976	1.685319	0.121014	0.276712
740	*	0.609133	1.702031	0.236245	0.368843	1.514471	0.341819	0.140304	0.269843	0.671762	0.162665	0.465045	0.385227	0.519708	0.527363	0.189121	2.015172	0.714732	0.355576	2.528324	0.589658	0.258375	0.589765	0.834371	2.320128	6.507045	1.667103	0.441628	0.336453	0.244166	0.467198	0.478348	1.808029	2.469650	0.770766	0.764662	0.165095	0.126312	0.500954	0.437974	0.088252	0.114705	0.753474	1.096412	0.270870	0.096775	0.097787	0.469198	0.717880	0.210853	1.365764	0.214416	0.792404	0.021925	0.438476	1.533750	1.455708	0.406834	0.211411	0.248986	0.603958	1.884174	1.751343	1.136316	1.310570	0.404982	0.798917	0.265534	0.065778	0.623169	0.529137	0.831450	0.248382	0.073838	0.114762	1.049858	0.149987	0.112035	0.277183	0.495259	0.469822	0.172883	0.165098	0.241818	0.508446	0.623172	0.595896	0.841709	0.132422	0.204627	0.294063	0.217470	0.730640	0.118417	0.871971	0.234053	0.060493	0.913881	0.204044	0.079215	0.213078	1.034396	0.141667	0.141838	0.666939	0.088363	0.126425	0.141736	0.098418	0.124308	0.255295	0.485800	0.937514	0.768065	1.886871	0.020626	2.277254	0.348759	0.194699	0.792570	0.321956	0.178591	0.494860	0.422741	0.592326	0.000000	0.236892	0.852378	0.263006	1.530497	0.328796	1.549718	0.583982	0.081360	2.185209	0.216330	1.720695	0.754455	0.145914	0.076519
741	*	0.630224	0.440019	0.161297	0.275834	0.253252	0.233196	0.217822	0.094909	0.452699	0.081308	0.243985	0.676117	0.608211	0.286605	0.670730	2.013554	0.531253	0.263347	2.402881	0.146243	0.222458	0.495506	0.448244	2.312055	5.922634	1.026507	0.870167	0.193642	0.288052	0.052008	0.000000	1.138116	0.358178	1.067805	0.543880	0.222432	0.032818	0.939097	0.138538	0.082061	0.645418	0.463854	1.022302	0.170651	0.131023	0.108303	0.536653	1.237076	0.115611	1.263372	1.294530	0.805307	1.239127	0.221662	2.030616	1.287814	0.103182	0.155107	0.119414	0.590146	0.122422	1.249411	1.333492	1.448701	0.518989	0.274239	0.317022	0.062813	0.484610	0.180720	0.204308	0.262837	0.063371	0.277209	3.439867	0.163610	0.049816	0.393628	0.378363	0.723931	0.244644	0.079452	0.393486	0.351026	0.114008	0.531223	0.238252	0.133770	0.134204	0.445741	0.304013	1.065529	0.124825	1.364650	0.053236	0.770290	0.354017	0.139984	0.101358	0.212890	1.233855	0.030085	0.140350	0.781082	0.054708	0.067155	0.121077	0.052516	0.217626	0.563922	0.057649	1.016615	0.636902	0.614486	0.149231	4.647942	0.764436	1.980458	0.474974	0.358930	0.171196	0.488294	0.291542	0.451904	0.449975	0.144343	0.784063	0.300602	0.066881	0.275545	2.292917	0.420948	0.156744	0.218783	0.138787	1.391549	0.771379	0.121289	0.110070
742	*	0.888641	1.788816	0.257385	0.315669	0.476774	0.220701	0.447890	1.455245	1.273470	0.409979	0.344022	0.411263	0.347456	0.430578	0.738883	1.990805	0.635957	0.330139	2.738504	0.422641	0.619944	1.067191	0.706997	1.962140	5.664495	0.655818	0.492553	0.385857	0.264941	0.513333	0.531287	0.623050	0.505546	0.361701	1.057303	0.326872	0.470673	0.839323	0.322193	0.091375	0.666455	0.409113	0.728913	0.827955	0.384981	0.327223	0.727297	1.112513	0.889131	1.558586	0.625140	1.083657	0.184325	0.855052	1.883060	1.419730	0.382188	0.169132	2.391747	0.381457	0.236522	2.041517	0.708095	1.597425	0.279094	0.830125	0.260413	0.324382	0.932140	0.421664	0.303089	0.195736	0.123738	0.178813	0.665385	0.291963	0.195960	0.402795	0.205724	1.846166	0.068983	0.192725	0.398919	1.076389	0.068123	0.190626	0.593443	0.133339	0.161464	0.211039	0.296444	0.670294	0.210901	0.420049	0.133453	0.257721	0.688581	0.243106	0.473048	0.237512	1.524783	0.094976	0.099219	1.158137	0.533874	0.188346	0.066534	0.176307	0.017988	0.225604	0.791720	1.481240	0.184501	1.581532	0.193927	3.987294	0.562595	1.006980	0.862236	0.764529	0.078960	0.838401	0.283852	1.415925	0.934031	0.219637	0.913178	0.303639	0.108864	0.186046	0.674891	0.437172	0.191770	0.385012	0.197103	1.231887	1.193752	0.121448	0.230315
743	*	0.682169	1.704761	0.234760	0.220953	0.487896	0.170136	0.437337	0.162504	1.311897	0.224098	0.303935	0.552835	3.995341	0.995863	0.854509	2.021222	0.672420	0.528444	2.322830	0.150462	0.458249	0.343857	0.571128	1.816347	5.156775	1.783189	1.234688	0.177905	0.653856	0.282839	0.494277	0.645805	0.453183	2.381332	0.935147	0.551111	0.580167	0.707091	0.225841	0.152304	0.957892	0.563358	0.997663	0.478764	0.322434	0.269549	0.434563	1.193151	0.304588	2.617251	2.535665	0.983802	0.116815	0.663298	1.295297	1.257829	0.411112	0.126934	0.243664	0.758056	1.705322	1.781574	1.059169	1.244633	0.294796	1.267474	0.225888	0.157829	0.992164	0.307902	0.545787	0.339086	0.191852	0.101724	1.079222	0.203451	0.166406	0.271575	0.241839	1.015032	0.138947	0.160894	0.366446	0.277218	0.669043	0.268173	0.164211	0.104679	0.097553	0.247225	0.202151	0.622481	0.110387	0.491944	0.113281	0.253542	0.473867	0.261636	0.157476	0.194079	1.377694	0.103852	0.107592	0.662843	1.132097	0.191884	0.078434	0.089541	0.054330	0.180842	0.296337	1.256514	0.494804	1.119006	0.256554	1.990072	0.438252	0.448024	0.670774	1.158645	0.113333	0.624471	0.304731	1.073014	1.248482	0.224568	0.550365	0.363410	0.197229	0.350911	0.652864	0.435265	0.190805	0.356319	0.232666	1.579542	0.798540	0.146090	0.113194
744	*	0.930355	2.268749	0.405158	0.316695	0.612586	0.214163	0.166985	0.150548	0.779268	0.244635	0.270548	0.181613	0.664082	0.386090	1.256584	2.118201	0.630138	0.244406	2.914511	0.412842	0.393792	0.546693	0.773975	2.163711	6.418036	1.376739	0.613785	0.124741	0.175775	0.219998	0.548670	0.828376	0.456920	0.689245	0.905513	0.376158	0.370116	0.499662	0.270306	0.057371	0.441615	0.582796	1.057716	0.336104	0.234487	0.176793	0.336598	0.779482	0.195579	1.546580	0.598891	1.302191	0.187607	0.382614	3.583550	1.429870	0.236379	0.131949	0.121011	0.475885	0.718355	1.674934	0.880567	1.563498	0.218779	0.408877	0.188610	0.144748	0.835226	0.196244	0.368943	0.168087	0.077739	0.201665	1.134671	0.094528	0.145592	0.492543	0.316142	0.782079	0.249769	0.220719	0.290364	0.395239	0.518777	0.277547	0.198289	0.153855	0.177166	0.193004	0.283731	0.411023	0.119002	0.866381	0.125503	0.174443	0.323137	0.148353	0.141297	0.206555	1.006971	0.093451	0.636210	0.805835	0.350448	0.124138	0.106389	0.188880	0.198571	0.831651	0.159446	1.402303	0.160078	0.845696	0.449548	3.701565	0.482397	0.088320	0.818484	0.512831	0.045827	0.231455	0.503126	1.342334	1.078281	0.179729	0.590463	0.322644	0.275413	0.218829	0.944640	0.489298	0.170716	0.278331	0.139094	1.001153	1.335805	0.137142	0.111609
745	*	0.679025	0.864746	0.201937	0.313705	0.360992	0.184381	0.360951	0.123660	0.534595	0.220605	0.240532	0.253750	0.867023	0.533656	0.717696	1.649690	0.387678	0.025997	3.629609	0.274251	0.528086	0.412324	0.563246	2.741658	6.622313	0.826604	0.892261	0.114175	0.621537	0.273255	0.732334	0.657590	0.442623	1.491838	0.846133	0.148177	0.303049	0.654133	0.177911	0.078914	0.271994	0.527891	1.036300	0.384209	0.134450	0.073360	0.377006	1.224304	0.350928	2.406917	0.595013	0.656779	0.298291	0.603722	2.766506	1.114461	0.077583	0.119943	0.159307	0.474851	0.724857	1.662540	1.828477	1.237270	0.144589	0.602846	0.245450	0.162534	0.536266	0.220430	0.317517	0.232623	0.027978	0.103455	0.538393	0.134423	0.122813	0.265118	0.283817	0.456961	0.094796	0.185572	0.309541	0.428511	0.383800	0.289727	0.191416	0.122297	0.055330	0.225267	0.159025	0.169908	0.148695	1.108715	0.012343	0.491630	0.606295	0.146675	0.110525	0.239975	0.691697	0.052514	0.013332	0.800966	0.090016	0.077399	0.092651	0.136185	0.074878	0.140438	0.351174	0.987330	0.169562	0.456080	0.105902	4.140417	0.343299	0.608612	0.948292	0.822351	0.146139	0.254076	0.247228	1.093226	0.430267	0.173530	0.500847	0.142462	0.091519	0.280765	1.514894	0.594811	0.099438	0.151751	0.187680	0.528285	1.303741	0.093692	0.160757
746	*	0.484259	0.677632	0.467680	0.000000	0.107152	0.156787	0.136941	0.187659	0.309339	0.068781	0.244707	0.279621	0.448836	0.273971	0.998889	1.626575	0.585939	0.188882	2.680727	0.160057	0.101393	0.208455	0.257823	3.098996	8.056922	0.837088	0.411687	0.143666	0.097123	0.327987	0.450471	0.916652	0.400040	0.896597	0.424475	0.204635	0.443532	0.494510	0.217560	0.078586	0.099140	0.430941	0.851302	0.044310	0.368389	0.178512	0.238676	0.364800	0.091951	1.233629	0.661195	0.621696	0.100459	0.562943	4.622960	1.266728	0.003831	0.122830	0.138388	0.588802	0.612055	1.873401	0.898108	0.866598	0.172820	0.400185	0.191299	0.047977	0.435840	0.195105	0.226246	0.197184	0.086431	0.176760	0.714198	0.046646	0.166267	0.627478	0.203056	0.501971	0.165759	0.145929	0.359978	0.216636	0.550536	0.298555	0.273190	0.180530	0.136262	0.192429	0.113953	0.407937	0.102780	0.359861	0.145138	0.173891	0.263595	0.103196	0.246530	0.125847	1.003652	0.079341	0.782343	0.782842	0.372626	0.091706	0.094721	0.246216	0.247311	0.052734	0.381433	0.995849	0.193939	1.090650	0.428308	1.180755	0.291972	0.691998	0.888139	0.285939	0.061791	0.290120	0.220867	0.000000	0.813207	0.140314	0.287074	0.138942	0.133797	0.189988	0.638879	0.552128	0.267791	0.135831	0.071753	1.043434	1.091565	0.141590	0.141325
747	*	0.689207	0.437805	0.281509	0.290318	0.290681	0.231347	0.080410	0.065668	0.234664	0.134927	0.175071	0.270430	0.620561	0.459161	0.823393	0.947994	0.485243	0.392166	3.668031	0.113038	0.368736	0.178132	0.361334	3.079486	7.605833	1.065321	0.615381	0.073100	0.151798	0.086834	0.470210	1.477067	0.448194	1.608691	0.828764	0.384769	0.419316	0.518552	0.230791	0.077436	0.034190	0.297862	1.970447	0.040589	0.328413	0.101072	0.459527	1.289834	0.036261	2.627692	0.582231	0.600022	0.042478	0.518294	2.328294	0.964596	0.243720	0.092500	0.019369	0.347759	0.469638	1.706769	1.869088	1.418535	0.234496	0.458227	0.220397	0.000000	0.691348	0.070417	0.234048	0.123457	0.065676	0.017223	0.736816	0.032645	0.061708	0.335835	0.054065	0.320491	0.137315	0.090276	0.282997	0.136322	0.098434	0.178472	0.256589	0.199245	0.109818	0.043705	0.101097	0.446380	0.152196	1.240031	0.133862	0.338418	0.114832	0.137572	0.030786	0.058152	0.859383	0.060042	0.084632	0.959973	0.185106	0.121786	0.076161	0.017802	0.168042	0.198744	0.103437	0.953973	0.298630	0.956157	0.018872	1.887581	0.310389	0.274783	0.360701	0.663676	0.110335	0.403401	0.225837	0.521342	0.525613	0.165198	0.618320	0.157305	0.145271	0.199269	1.547741	0.681426	0.090308	0.134385	0.065049	0.313617	0.959787	0.067027	0.107945
