Scopus refine results values

"Your query : (AU-ID(""Cattaneo, Giuseppe"" 7103222430))"


Number of results : 52

"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",,,
,,"Costabile, G.","1",,,,,"Undefined","2","Data Structures","3",,,,,,,,,,
,,"De Fusco, C.","1",,,,,,,"Digital Cameras","3",,,,,,,,,,
,,"De Prisco, R.","1",,,,,,,"Digital Devices","3",,,,,,,,,,
,,"Di Biasi, L.","1",,,,,,,"Digital Investigations","3",,,,,,,,,,
,,"Di Giampaolo, C.","1",,,,,,,"Distributed Computing","3",,,,,,,,,,
,,"Di Giore, G.","1",,,,,,,"Encryption","3",,,,,,,,,,
,,"Epifani, M.","1",,,,,,,"False Digital Alibi","3",,,,,,,,,,
,,"Ferraro-Petrillo, U.","1",,,,,,,"Global System For Mobile Communications","3",,,,,,,,,,
,,"Fino, R.","1",,,,,,,"Hadoop","3",,,,,,,,,,
,,"Fiore, U.","1",,,,,,,"Image Forensics","3",,,,,,,,,,
,,"Garofalo, V.","1",,,,,,,"Image Processing","3",,,,,,,,,,
,,"Guercio, A.","1",,,,,,,"Internet Telephony","3",,,,,,,,,,
,,"Ianulardo, M.","1",,,,,,,"JPEG Image","3",,,,,,,,,,
,,"Izzo, M.","1",,,,,,,"Quality Of Service","3",,,,,,,,,,
,,"Maio, G.D.","1",,,,,,,"Security Of Data","3",,,,,,,,,,
,,"Marino, F.","1",,,,,,,"Smart Card","3",,,,,,,,,,
,,"Matteo, G.D.","1",,,,,,,"Smart Cards","3",,,,,,,,,,
,,"Mazzeo, A.","1",,,,,,,"Telecommunication Networks","3",,,,,,,,,,
,,"Negro, A.","1",,,,,,,"Telephone Sets","3",,,,,,,,,,
,,"Palazzo, V.","1",,,,,,,"Alignment","2",,,,,,,,,,
,,"Palmieri, F.","1",,,,,,,"Alignment-free Sequence Comparison","2",,,,,,,,,,
,,"Parisi, R.","1",,,,,,,"Alignment-free Sequence Comparison And Analysis","2",,,,,,,,,,
,,"Persiano, G.","1",,,,,,,"Android Forensics","2",,,,,,,,,,
,,"Quaggetto, M.","1",,,,,,,"Artificial Intelligence","2",,,,,,,,,,
,,"Rossi, C.","1",,,,,,,"Automation","2",,,,,,,,,,
,,"Rotondo, R.","1",,,,,,,"Bioinformatics","2",,,,,,,,,,
,,"Ruotolo, M.","1",,,,,,,"COMPUTER PROGRAMMING LANGUAGES","2",,,,,,,,,,
,,"Saggese, G.P.","1",,,,,,,"Communication Channel","2",,,,,,,,,,
,,"Yim, K.","1",,,,,,,"Communication Content","2",,,,,,,,,,
,,"You, I.","1",,,,,,,"Communication Systems","2",,,,,,,,,,
,,"de Maio, G.","1",,,,,,,"Computational Resources","2",,,,,,,,,,
,,,,,,,,,,"Computer Forensics","2",,,,,,,,,,
,,,,,,,,,,"Computers","2",,,,,,,,,,
,,,,,,,,,,"Counter-forensics","2",,,,,,,,,,
,,,,,,,,,,"Cryptographic Protocols","2",,,,,,,,,,
,,,,,,,,,,"Digital Camera Identification","2",,,,,,,,,,
,,,,,,,,,,"Digital Camera Model Identification","2",,,,,,,,,,
,,,,,,,,,,"Distributed Approaches","2",,,,,,,,,,
,,,,,,,,,,"Distributed Systems","2",,,,,,,,,,
,,,,,,,,,,"Double Quantization Effect","2",,,,,,,,,,
,,,,,,,,,,"Dynamic Algorithm","2",,,,,,,,,,
,,,,,,,,,,"Dynamic Graph","2",,,,,,,,,,
,,,,,,,,,,"Electronic Commerce","2",,,,,,,,,,
,,,,,,,,,,"Elliptic Curve Cryptography","2",,,,,,,,,,
,,,,,,,,,,"Empirical Studies","2",,,,,,,,,,
,,,,,,,,,,"Evaluation Datasets","2",,,,,,,,,,
,,,,,,,,,,"Experiments","2",,,,,,,,,,
,,,,,,,,,,"Facebook","2",,,,,,,,,,
,,,,,,,,,,"False Digital Evidence","2",,,,,,,,,,
,,,,,,,,,,"GSM","2",,,,,,,,,,
,,,,,,,,,,"Information Technology","2",,,,,,,,,,
,,,,,,,,,,"Internet Protocols","2",,,,,,,,,,
,,,,,,,,,,"Internet Service Providers","2",,,,,,,,,,
,,,,,,,,,,"JPEG Image Integrity","2",,,,,,,,,,
,,,,,,,,,,"Java Programming Language","2",,,,,,,,,,
,,,,,,,,,,"Libraries","2",,,,,,,,,,
,,,,,,,,,,"Map-reduce","2",,,,,,,,,,
,,,,,,,,,,"MapReduce","2",,,,,,,,,,
,,,,,,,,,,"Message Passing","2",,,,,,,,,,
,,,,,,,,,,"Microcomputers","2",,,,,,,,,,
,,,,,,,,,,"Minimum Spanning Trees","2",,,,,,,,,,
,,,,,,,,,,"Mobile Forensics","2",,,,,,,,,,
,,,,,,,,,,"Mobile Secure Communications","2",,,,,,,,,,
,,,,,,,,,,"Next-generation Sequencing","2",,,,,,,,,,
,,,,,,,,,,"Online Social Networks","2",,,,,,,,,,
,,,,,,,,,,"Peer Authentication","2",,,,,,,,,,
,,,,,,,,,,"Performance Analysis","2",,,,,,,,,,
,,,,,,,,,,"Performance Issues","2",,,,,,,,,,
,,,,,,,,,,"Pervasive Computing","2",,,,,,,,,,
,,,,,,,,,,"Pixel Non-uniformity","2",,,,,,,,,,
,,,,,,,,,,"Pixel Non-uniformity Noise","2",,,,,,,,,,
,,,,,,,,,,"Pixels","2",,,,,,,,,,
,,,,,,,,,,"Polylogarithmic","2",,,,,,,,,,
,,,,,,,,,,"Privacy","2",,,,,,,,,,
,,,,,,,,,,"Program Debugging","2",,,,,,,,,,
,,,,,,,,,,"Project Management","2",,,,,,,,,,
,,,,,,,,,,"Proprietary Technologies","2",,,,,,,,,,
,,,,,,,,,,"Prototype Implementations","2",,,,,,,,,,
,,,,,,,,,,"Quantization Effects","2",,,,,,,,,,
,,,,,,,,,,"Robots","2",,,,,,,,,,
,,,,,,,,,,"Secure Communications","2",,,,,,,,,,
,,,,,,,,,,"Secure Deletion","2",,,,,,,,,,
,,,,,,,,,,"Security Attacks","2",,,,,,,,,,
,,,,,,,,,,"Security Features","2",,,,,,,,,,
,,,,,,,,,,"Security Systems","2",,,,,,,,,,
,,,,,,,,,,"Smartphones","2",,,,,,,,,,
,,,,,,,,,,"Social Networking (online)","2",,,,,,,,,,
,,,,,,,,,,"Source Camera Identification","2",,,,,,,,,,
,,,,,,,,,,"Source Camera Identifications","2",,,,,,,,,,
,,,,,,,,,,"Sparsification","2",,,,,,,,,,
,,,,,,,,,,"Standard Technology","2",,,,,,,,,,
,,,,,,,,,,"Telecommunication Systems","2",,,,,,,,,,
,,,,,,,,,,"User Interfaces","2",,,,,,,,,,
,,,,,,,,,,"Video Cameras","2",,,,,,,,,,
,,,,,,,,,,"Visualization","2",,,,,,,,,,
,,,,,,,,,,"VoIP","2",,,,,,,,,,
,,,,,,,,,,"Websites","2",,,,,,,,,,
,,,,,,,,,,"World Wide Web","2",,,,,,,,,,
,,,,,,,,,,"3G-324M","1",,,,,,,,,,
,,,,,,,,,,"A5/1 Algorithms","1",,,,,,,,,,
,,,,,,,,,,"Adaptive Behaviour","1",,,,,,,,,,
,,,,,,,,,,"Adversary Modeling","1",,,,,,,,,,
,,,,,,,,,,"Adversary Models","1",,,,,,,,,,
,,,,,,,,,,"Android Anti-Forensics","1",,,,,,,,,,
,,,,,,,,,,"Android OS","1",,,,,,,,,,
,,,,,,,,,,"Animation","1",,,,,,,,,,
,,,,,,,,,,"Anti-forensics","1",,,,,,,,,,
,,,,,,,,,,"Antiforensics","1",,,,,,,,,,
,,,,,,,,,,"Application Fields","1",,,,,,,,,,
,,,,,,,,,,"Application Service Provider (ASP)","1",,,,,,,,,,
,,,,,,,,,,"Attribute Authority","1",,,,,,,,,,
,,,,,,,,,,"Audio/Video Encryption","1",,,,,,,,,,
,,,,,,,,,,"Authentication And Key Agreements","1",,,,,,,,,,
,,,,,,,,,,"Automated Alibis","1",,,,,,,,,,
,,,,,,,,,,"Automated Procedures","1",,,,,,,,,,
,,,,,,,,,,"Automatic Deletion","1",,,,,,,,,,
,,,,,,,,,,"Autonomous Systems","1",,,,,,,,,,
,,,,,,,,,,"Badoo","1",,,,,,,,,,
,,,,,,,,,,"Binders","1",,,,,,,,,,
,,,,,,,,,,"Binding Energy","1",,,,,,,,,,
,,,,,,,,,,"Binding Sites","1",,,,,,,,,,
,,,,,,,,,,"Bins","1",,,,,,,,,,
,,,,,,,,,,"Biological Sequences","1",,,,,,,,,,
,,,,,,,,,,"Broadband Networks","1",,,,,,,,,,
,,,,,,,,,,"COMPUTER PROGRAMMING","1",,,,,,,,,,
,,,,,,,,,,"CSD","1",,,,,,,,,,
,,,,,,,,,,"Camera Model Identifications","1",,,,,,,,,,
,,,,,,,,,,"Camera Sensor","1",,,,,,,,,,
,,,,,,,,,,"Cellular Telephones","1",,,,,,,,,,
